 SGx1               SGx2               SGy1               SGy2               spin_ref          spin_x                  spin_y                  spin_z
 0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 0.9236232889620055E-009 -.7609289615073678E-008 0.9602302286637610E-010
 0.000000000000000 0.1000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 0.1248441350298890E-009 -.6106628591684427E-008 0.9082357088630033E-010
 0.000000000000000 0.2000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.6736157187603453E-009 -.4604057690649199E-008 0.8562409115064895E-010
 0.000000000000000 0.3000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.1471756189141971E-008 -.3101576939723572E-008 0.8042461141499757E-010
 0.000000000000000 0.4000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.2269577387137289E-008 -.1599186338907543E-008 0.7522513167934619E-010
0.1000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 -.3785546875967327E-009 -.5722527091078788E-008 0.9412362556027176E-010
0.1000000000000000E-001 0.1000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.1177071523583706E-008 -.4219929294890790E-008 0.8892414582462038E-010
0.1000000000000000E-001 0.2000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.1975269059428797E-008 -.2717421676567966E-008 0.8372469384454462E-010
0.1000000000000000E-001 0.3000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.2773147239620855E-008 -.1215004208354742E-008 0.7852521410889324E-010
0.1000000000000000E-001 0.4000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.3570706091915454E-008 0.2873231097488826E-009 0.7332573437324186E-010
0.2000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 -.1680724504016240E-008 -.3835745526759027E-008 0.9222420049859181E-010
0.2000000000000000E-001 0.1000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.2478979022058070E-008 -.2333211041039007E-008 0.8702474851851605E-010
0.2000000000000000E-001 0.2000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.3276914239958018E-008 -.8307667054285872E-009 0.8182529653844028E-010
0.2000000000000000E-001 0.3000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.4074530102204932E-008 0.6715874800722332E-009 0.7662581680278890E-010
0.2000000000000000E-001 0.4000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.4871826664309964E-008 0.2173851515463454E-008 0.7142633706713752E-010
0.3000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 -.2982886160296516E-008 -.1948945033136695E-008 0.9032480319248748E-010
0.3000000000000000E-001 0.1000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.3780878360393203E-008 -.4464738023735038E-009 0.8512535121241172E-010
0.3000000000000000E-001 0.2000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.4578551288103583E-008 0.1055907278280088E-008 0.7992589923233595E-010
0.3000000000000000E-001 0.3000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.5375904832405354E-008 0.2558198181068505E-008 0.7472641949668457E-010
0.3000000000000000E-001 0.4000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.6172939076565243E-008 0.4060398933747322E-008 0.6952693976103319E-010
0.4000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 -.4285039656437561E-008 -.6212552694506712E-010 0.8842540588638315E-010
0.4000000000000000E-001 0.1000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.5082769566344680E-008 0.1440282421105721E-008 0.8322592615073177E-010
0.4000000000000000E-001 0.2000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.5880180176109917E-008 0.2942600219046909E-008 0.7802650192623162E-010
0.4000000000000000E-001 0.3000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.6677271402466545E-008 0.4444827866878498E-008 0.7282699443500462E-010
0.4000000000000000E-001 0.4000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.7474043356436866E-008 0.5946965364600487E-008 0.6762751469935324E-010
