#      N             NAME        S[cm]    BetaX[cm]        AlfaX    BetaY[cm]        AlfaY     DspX[cm]        DspXp     DspY[cm]        DspYp          NuX          NuY
      55               SD      7636.24      365.974   -0.0980234      1878.02    -0.102764      492.542     0.512335            0            0      1.61511      1.61417
      56               QD      7657.24      380.839    -0.615874      1834.82       2.1422      509.666        1.122            0            0       1.6241      1.61596
      57               BM      8190.18      1892.95     -2.07404      416.657     0.518815      1156.88      1.27556            0            0      1.72885      1.72028
      58               QF      8211.18      1936.77   0.00309769      405.536    0.0147984       1170.3 -0.000568791            0            0      1.73059      1.72845
      59              SF1      8223.18      1936.77  -0.00309824      405.536   -0.0147985      1170.29 -0.000568791            0            0      1.73158      1.73316
      60               QF      8244.18      1892.95      2.07404      416.657    -0.518815      1156.85     -1.27667            0            0      1.73332      1.74133
      61               BM      8777.12      380.839     0.615874      1834.82      -2.1422      509.058     -1.12302            0            0      1.83807      1.84565
      62               QD      8798.12      365.974    0.0980234      1878.02     0.102764      491.905    -0.514116            0            0      1.84707      1.84744
      63               SD      8810.12      364.019    0.0649192      1875.63    0.0963064      485.735    -0.514116            0            0       1.8523      1.84846
      64               QD      8831.12      371.872    -0.442091      1824.27       2.3283      481.124    0.0740412            0            0      1.86143      1.85026
      65               BM      9364.06      1608.73     -1.75817      342.281     0.452482      586.259     0.315421            0            0      1.97859      1.96806
      66               QF      9385.06      1645.86   0.00351987      332.477    0.0179581      586.132    -0.327469            0            0      1.98064      1.97802
      67              SF2      9397.06      1645.86  -0.00377124      332.479   -0.0181462      582.203    -0.327469            0            0       1.9818      1.98376
      68               QF      9418.06      1608.74      1.75794      342.291    -0.452681      568.673     -0.95856            0            0      1.98385      1.99371
      69               BM      9951.01      371.966     0.442186      1824.62     -2.32872      130.864    -0.663265            0            0      2.10099       2.1115
      70               QD      9972.01       364.11   -0.0649231      1875.98   -0.0963069      118.554     -0.51154            0            0      2.11012       2.1133
      71              OS1      9984.01      366.065   -0.0980191      1878.37    -0.102763      112.416     -0.51154            0            0      2.11535      2.11432
      72               QD     10005.01      380.932    -0.615968      1835.16      2.14262       103.07    -0.380456            0            0      2.12435      2.11611
      73               BM     10537.95      1892.96     -2.07381      416.667     0.519014     0.939616   0.00212401            0            0      2.22908      2.22042
      74               QF     10558.95      1936.78   0.00334961      405.538    0.0149866     0.973271   0.00107506            0            0      2.23082      2.22859
      75              OS2     10564.95      1936.75   0.00025164      405.447  0.000188125     0.979721   0.00107506            0            0      2.23131      2.23094
      76              OS2     10570.95      1936.77  -0.00284633      405.534   -0.0146104     0.986172   0.00107506            0            0      2.23181       2.2333
      77              QF1     10591.95      1889.96      2.21356       417.29    -0.549783     0.996577 -8.60815e-05            0            0      2.23355      2.24146
      78              OBM     11124.89      417.205     0.549889      1889.67     -2.21297     0.950701 -8.60815e-05            0            0        2.336      2.34391
      79              QD1     11145.89      405.443     0.014803      1936.46   0.00309856     0.960577   0.00102864            0            0      2.34416      2.34565
      80              OS1     11157.89      405.443   -0.0148008      1936.46  -0.00309836     0.972921   0.00102864            0            0      2.34887      2.34663
      81              QD1     11178.89      417.205    -0.549887      1889.67      2.21297      1.00658   0.00218315            0            0      2.35704      2.34837
      82              OBM     11711.83      1889.96     -2.21355       417.29     0.549783      2.17007   0.00218315            0            0      2.45949      2.45082
      83              QF1     11732.83      1936.77    0.0028466      405.534    0.0146104      2.18915 -0.000369712            0            0      2.46123      2.45898
      84              OS2     11738.83      1936.75 -0.000251373      405.447 -0.000188099      2.18693 -0.000369712            0            0      2.46172      2.46134
      85              END     11738.83      1936.75 -0.000251373      405.447 -0.000188099      2.18693 -0.000369712            0            0      2.46172      2.46134
