I CONS(MU) CONS(NBAR(1)) CONS(NBAR(2)) CONS(NBAR(3)) quadKx quadKy quadKz
 1.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.2201217850615999E-001 -.7687409023842880E-001 0.7313890596238820E-002
 2.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.1882117444517247E-001 -.7715373469061863E-001 0.7875386670887585E-002
 3.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.1563016989444773E-001 -.7743337917468497E-001 0.8436882590414554E-002
 4.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.1243916570607109E-001 -.7771302364869929E-001 0.8998378352046510E-002
 5.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.9248161487080355E-002 -.7799266811458215E-001 0.9559875249038561E-002
 6.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.6057157270410519E-002 -.7827231256954532E-001 0.1012137148473194E-001
 7.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.2866152949572914E-002 -.7855195704775220E-001 0.1068286679000387E-001
 8.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.3248512975755102E-003 -.7883160152342210E-001 0.1124436172127764E-001
 9.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.3515855552951028E-002 -.7911124599246384E-001 0.1180585680505540E-001
 10.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.6706859809819300E-002 -.7939089045974004E-001 0.1236735317359028E-001
 11.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.9897863983489512E-002 -.7967053492367245E-001 0.1292884996739702E-001
 12.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.1308886843311587E-001 -.7995017940982263E-001 0.1349034581020465E-001
 13.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.1627987267237590E-001 -.8022982387738241E-001 0.1405184174716560E-001
 14.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.1947087690267926E-001 -.8050946834437754E-001 0.1461333782185585E-001
 15.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.2266188114720061E-001 -.8078911280387813E-001 0.1517483371420452E-001
 16.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.2585288539877034E-001 -.8106875727391676E-001 0.1573632963590957E-001
 17.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.2904388965179137E-001 -.8134840173935086E-001 0.1629782555929724E-001
 18.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.3223489392220930E-001 -.8162804620956957E-001 0.1685932140454860E-001
 19.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.3542589819069803E-001 -.8190769068312462E-001 0.1742081733523314E-001
 20.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.3861690242871767E-001 -.8218733514945667E-001 0.1798231322820460E-001
 21.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.4180790667285657E-001 -.8246697962637986E-001 0.1854380924494235E-001
 22.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.4499891090894072E-001 -.8274662408294930E-001 0.1910530524721401E-001
 23.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.4818991516276887E-001 -.8302626856273336E-001 0.1966680114320182E-001
 24.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.5138091941343770E-001 -.8330591303127088E-001 0.2022829707745134E-001
 25.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.5457192366670655E-001 -.8358555750014786E-001 0.2078979298465384E-001
 26.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.5776292772049680E-001 -.8386520195156633E-001 0.2135128884016928E-001
 27.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.6095393195699600E-001 -.8414484641029696E-001 0.2191278485396469E-001
 28.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.6414493620208182E-001 -.8442449087856732E-001 0.2247428078722908E-001
 29.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.6733594045299210E-001 -.8470413534848319E-001 0.2303577667908976E-001
 30.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.7052694470597660E-001 -.8498377982482563E-001 0.2359727254661466E-001
