     I  COEFFICIENT            ORDER EXPONENTS
     1  0.1635648284944908       0   0 0  0 0  0 0  0
     2  -.1937906017494151E-14   1   0 0  0 0  0 1  0
     3  -.2309015724103568E-03   2   2 0  0 0  0 0  0
     4  -.4159962194080339E-06   2   1 1  0 0  0 0  0
     5  -.1649691654599456E-01   2   0 2  0 0  0 0  0
     6  0.1275156840656630E-02   2   1 0  1 0  0 0  0
     7  -.9121058167138253E-04   2   0 1  1 0  0 0  0
     8  -.1785263111705576E-02   2   0 0  2 0  0 0  0
     9  0.2323132356719393E-04   2   1 0  0 1  0 0  0
    10  0.1190852052973747E-01   2   0 1  0 1  0 0  0
    11  -.3101437335053720E-04   2   0 0  1 1  0 0  0
    12  -.2198373670986787E-02   2   0 0  0 2  0 0  0
    13  0.5700525534262000E-12   2   1 0  0 0  1 0  0
    14  0.1326813007926065E-10   2   0 1  0 0  1 0  0
    15  0.1977304877413713E-11   2   0 0  1 0  1 0  0
    16  -.6184174591077837E-11   2   0 0  0 1  1 0  0
    17  -.9099191285427571E-07   2   1 0  0 0  0 1  0
    18  -.3223895758744642E-05   2   0 1  0 0  0 1  0
    19  0.2508044592576503E-06   2   0 0  1 0  0 1  0
    20  0.1224076011688927E-05   2   0 0  0 1  0 1  0
    21  0.2012139632996192E-08   2   0 0  0 0  2 0  0
    22  -.8219403516654404E-07   2   0 0  0 0  1 1  0
    23  0.9479350363624984E-02   2   0 0  0 0  0 2  0
    24  0.9962132980509802E-07   3   3 0  0 0  0 0  0
    25  0.2853754700453890E-05   3   2 1  0 0  0 0  0
    26  -.1950255844088166E-04   3   1 2  0 0  0 0  0
    27  -.5775824312435416E-04   3   0 3  0 0  0 0  0
    28  -.8416609066994999E-06   3   2 0  1 0  0 0  0
    29  -.1314849689535523E-04   3   1 1  1 0  0 0  0
    30  0.4326819990656171E-04   3   0 2  1 0  0 0  0
    31  0.2478699575107322E-05   3   1 0  2 0  0 0  0
    32  0.1800846596805012E-04   3   0 1  2 0  0 0  0
    33  -.2470194052126486E-05   3   0 0  3 0  0 0  0
    34  -.1678497599985184E-05   3   2 0  0 1  0 0  0
    35  0.1458938363093647E-04   3   1 1  0 1  0 0  0
    36  0.4115394247728722E-04   3   0 2  0 1  0 0  0
    37  0.8068494540157235E-05   3   1 0  1 1  0 0  0
    38  -.4329516623831252E-04   3   0 1  1 1  0 0  0
    39  -.1053149379037511E-04   3   0 0  2 1  0 0  0
    40  -.3320165700215074E-05   3   1 0  0 2  0 0  0
    41  -.3034763951163598E-04   3   0 1  0 2  0 0  0
    42  0.1133730793100942E-04   3   0 0  1 2  0 0  0
    43  0.8221472587101783E-05   3   0 0  0 3  0 0  0
    44  0.2485352263661117E-07   3   2 0  0 0  1 0  0
    45  -.1075856538883470E-05   3   1 1  0 0  1 0  0
    46  0.2157786502825025E-05   3   0 2  0 0  1 0  0
    47  0.2476503936456953E-07   3   1 0  1 0  1 0  0
    48  0.2460448527706813E-04   3   0 1  1 0  1 0  0
    49  -.1414444393254292E-06   3   0 0  2 0  1 0  0
    50  -.3190540755452483E-05   3   1 0  0 1  1 0  0
    51  0.4327063562893055E-06   3   0 1  0 1  1 0  0
    52  0.9825735396596919E-06   3   0 0  1 1  1 0  0
    53  -.1506827763496557E-06   3   0 0  0 2  1 0  0
    54  -.5880768472699784E-02   3   2 0  0 0  0 1  0
    55  -.9369841834725260E-03   3   1 1  0 0  0 1  0
    56  -.5161539661160546       3   0 2  0 0  0 1  0
    57  0.1819197267627014E-02   3   1 0  1 0  0 1  0
    58  -.4347829801628704E-02   3   0 1  1 0  0 1  0
    59  0.2698161964813828E-01   3   0 0  2 0  0 1  0
    60  -.7036405660635480E-03   3   1 0  0 1  0 1  0
    61  -.1409613273552202E-01   3   0 1  0 1  0 1  0
    62  0.4852905283773523E-02   3   0 0  1 1  0 1  0
    63  0.4745652344848781E-01   3   0 0  0 2  0 1  0
    64  -.1538568744877176E-13   3   1 0  0 0  2 0  0
    65  0.8786295379968218E-14   3   0 1  0 0  2 0  0
    66  0.2205917707693015E-13   3   0 0  1 0  2 0  0
    67  -.1868644794451342E-14   3   0 0  0 1  2 0  0
    68  0.2467680621005584E-08   3   1 0  0 0  1 1  0
    69  -.4082380367871738E-07   3   0 1  0 0  1 1  0
    70  -.2407558046072805E-08   3   0 0  1 0  1 1  0
    71  0.1328688685305392E-07   3   0 0  0 1  1 1  0
    72  0.1092570930587870E-03   3   1 0  0 0  0 2  0
    73  0.3870140875519611E-02   3   0 1  0 0  0 2  0
    74  -.2924952517975236E-03   3   0 0  1 0  0 2  0
    75  -.1412766563898269E-02   3   0 0  0 1  0 2  0
    76  -.2031906189621653E-12   3   0 0  0 0  2 1  0
    77  0.7021191203932763E-07   3   0 0  0 0  1 2  0
    78  -.5398305064681342E-02   3   0 0  0 0  0 3  0
    -------------------------------------------------
