 SGx1               SGx2               SGy1               SGy2               spin_ref          spin_x                  spin_y                  spin_z
 0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 0.7427086001765559E-008 0.3912810353501328E-008 0.8571274245916527E-010
 0.000000000000000 0.2000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 0.5578228323699364E-008 0.3955126059995706E-008 0.8358871927960365E-010
 0.000000000000000 0.4000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 0.3728963138271979E-008 0.3997441766490084E-008 0.8149092511899880E-010
0.2000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 0.5346588671795161E-008 0.3938626091937181E-008 0.8532832773688881E-010
0.2000000000000000E-001 0.2000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 0.3505695927996655E-008 0.3980941826187134E-008 0.8320413802387350E-010
0.2000000000000000E-001 0.4000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 0.1664395676836961E-008 0.4023257532681512E-008 0.8107972626625326E-010
0.4000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 0.3284310073903285E-008 0.3964441858128609E-008 0.8494405179249043E-010
0.4000000000000000E-001 0.2000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 0.1451382264372469E-008 0.4006757564622987E-008 0.8281988983505073E-010
0.4000000000000000E-001 0.4000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.3819529970083835E-009 0.4049073271117365E-008 0.8069522827724995E-010
 0.000000000000000  0.000000000000000 -.3000000000000000E-001  0.000000000000000  0.000000000000000 0.8141926161053803E-008 0.3650311913849791E-008 0.8602549228520218E-010
 0.000000000000000 0.2000000000000000E-001 -.3000000000000000E-001  0.000000000000000  0.000000000000000 0.6290399673369862E-008 0.3692627620344169E-008 0.8390152461679179E-010
 0.000000000000000 0.4000000000000000E-001 -.3000000000000000E-001  0.000000000000000  0.000000000000000 0.4438465678324732E-008 0.3734943326838547E-008 0.8177766797068386E-010
0.2000000000000000E-001  0.000000000000000 -.3000000000000000E-001  0.000000000000000  0.000000000000000 0.6055262236071002E-008 0.3676127652285643E-008 0.8564113307407695E-010
0.2000000000000000E-001 0.2000000000000000E-001 -.3000000000000000E-001  0.000000000000000  0.000000000000000 0.4211700682654751E-008 0.3718443358780021E-008 0.8351702662778848E-010
0.2000000000000000E-001 0.4000000000000000E-001 -.3000000000000000E-001  0.000000000000000  0.000000000000000 0.2367731621877311E-008 0.3760759093029975E-008 0.8141781693282724E-010
0.4000000000000000E-001  0.000000000000000 -.3000000000000000E-001  0.000000000000000  0.000000000000000 0.3986817070922299E-008 0.3701943418477072E-008 0.8525682937410295E-010
0.4000000000000000E-001 0.2000000000000000E-001 -.3000000000000000E-001  0.000000000000000  0.000000000000000 0.2151220451773739E-008 0.3744259124971450E-008 0.8313261190551202E-010
0.4000000000000000E-001 0.4000000000000000E-001 -.3000000000000000E-001  0.000000000000000  0.000000000000000 0.3152163530195651E-009 0.3786574831465828E-008 0.8100808912558932E-010
 0.000000000000000  0.000000000000000 -.6000000000000000E-001  0.000000000000000  0.000000000000000 0.8858853317583737E-008 0.3387813474198254E-008 0.8633829762239031E-010
 0.000000000000000 0.2000000000000000E-001 -.6000000000000000E-001  0.000000000000000  0.000000000000000 0.7004658020282051E-008 0.3430129180692632E-008 0.8421441322070677E-010
 0.000000000000000 0.4000000000000000E-001 -.6000000000000000E-001  0.000000000000000  0.000000000000000 0.5150055243374752E-008 0.3472444887187009E-008 0.8211148427861303E-010
0.2000000000000000E-001  0.000000000000000 -.6000000000000000E-001  0.000000000000000  0.000000000000000 0.6766022825344109E-008 0.3413629212634106E-008 0.8595388290011385E-010
0.2000000000000000E-001 0.2000000000000000E-001 -.6000000000000000E-001  0.000000000000000  0.000000000000000 0.4919792462310113E-008 0.3455944919128484E-008 0.8382983196497662E-010
0.2000000000000000E-001 0.4000000000000000E-001 -.6000000000000000E-001  0.000000000000000  0.000000000000000 0.3073154619670504E-008 0.3498260625622862E-008 0.8170580878541500E-010
0.4000000000000000E-001  0.000000000000000 -.6000000000000000E-001  0.000000000000000  0.000000000000000 0.4691411092938580E-008 0.3439444951069959E-008 0.8556960695571547E-010
0.4000000000000000E-001 0.2000000000000000E-001 -.6000000000000000E-001  0.000000000000000  0.000000000000000 0.2853145664172274E-008 0.3481760685319912E-008 0.8344538948712454E-010
0.4000000000000000E-001 0.4000000000000000E-001 -.6000000000000000E-001  0.000000000000000  0.000000000000000 0.1014472728044780E-008 0.3524076391814290E-008 0.8132097772950431E-010
