 SGx1               SGx2              SGy1                SGy2              chrom_x            chrom_y            CONS(MU)           quad_Kx                 quad_Ky                 quad_Kz                  alpha_0              alpha_1            eta_1
 0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 -15.44245685879954 -19.42815564054581 0.8310509962153538E-003 0.1662884306615350E-001 0.3264489290868645E-002 -.7585723184519231E-002 0.6475613557909566E-002 0.7786980033778845E-001 0.9272282939987271
 0.000000000000000 0.1000000000000000E-002  0.000000000000000  0.000000000000000 -14.84900308402435 -19.49048725586715 0.8310509962153538E-003 0.1534026949886895E-001 0.3291369485783509E-002 -.7851853398803475E-002 0.6475613557909566E-002 0.7355733247578088E-001 0.9229158261367196
 0.000000000000000 0.2000000000000000E-002  0.000000000000000  0.000000000000000 -14.25554930924913 -19.55281887118851 0.8310509962153538E-003 0.1405169593158950E-001 0.3318249680699016E-002 -.8117983859977277E-002 0.6475613557909566E-002 0.6924486461377347E-001 0.9186033582747122
 0.000000000000000 0.3000000000000000E-002  0.000000000000000  0.000000000000000 -13.66209553447391 -19.61515048650987 0.8310509962153538E-003 0.1276312236430966E-001 0.3345129875613918E-002 -.8384114157633692E-002 0.6475613557909566E-002 0.6493239675176568E-001 0.9142908904127043
 0.000000000000000 0.4000000000000000E-002  0.000000000000000  0.000000000000000 -13.06864175969869 -19.67748210183121 0.8310509962153538E-003 0.1147454879702834E-001 0.3372010070528396E-002 -.8650244481894463E-002 0.6475613557909566E-002 0.6061992888975867E-001 0.9099784225506973
0.1000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -15.11034018775088 -19.45097645815303 0.8310509962153538E-003 0.1510283099248738E-001 0.3285310809755206E-002 -.7643403860707045E-002 0.6475613557909566E-002 0.7742816456001443E-001 0.9267866582209532
0.1000000000000000E-002 0.1000000000000000E-002  0.000000000000000  0.000000000000000 -14.51688641297566 -19.51330807347437 0.8310509962153538E-003 0.1381425742520635E-001 0.3312191004670183E-002 -.7909534185230549E-002 0.6475613557909566E-002 0.7311569669800645E-001 0.9224741903589451
0.1000000000000000E-002 0.2000000000000000E-002  0.000000000000000  0.000000000000000 -13.92343263820045 -19.57563968879577 0.8310509962153538E-003 0.1252568385792141E-001 0.3339071199585110E-002 -.8175664438395763E-002 0.6475613557909566E-002 0.6880322883599885E-001 0.9181617224969376
0.1000000000000000E-002 0.3000000000000000E-002  0.000000000000000  0.000000000000000 -13.32997886342521 -19.63797130411710 0.8310509962153538E-003 0.1123711029064100E-001 0.3365951394500600E-002 -.8441794898624776E-002 0.6475613557909566E-002 0.6449076097399070E-001 0.9138492546349294
0.1000000000000000E-002 0.4000000000000000E-002  0.000000000000000  0.000000000000000 -12.73652508865001 -19.70030291943845 0.8310509962153538E-003 0.9948536723362628E-002 0.3392831589414968E-002 -.8707925158748518E-002 0.6475613557909566E-002 0.6017829311198348E-001 0.9095367867729222
0.2000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -14.77822351670219 -19.47379727576028 0.8310509962153538E-003 0.1357681891882037E-001 0.3306132328641742E-002 -.7701084536556351E-002 0.6475613557909566E-002 0.7698652878223868E-001 0.9263450224431773
0.2000000000000000E-002 0.1000000000000000E-002  0.000000000000000  0.000000000000000 -14.18476974192696 -19.53612889108164 0.8310509962153538E-003 0.1228824535154039E-001 0.3333012523556587E-002 -.7967214860995086E-002 0.6475613557909566E-002 0.7267406092023164E-001 0.9220325545811703
0.2000000000000000E-002 0.2000000000000000E-002  0.000000000000000  0.000000000000000 -13.59131596715176 -19.59846050640297 0.8310509962153538E-003 0.1099967178425860E-001 0.3359892718472092E-002 -.8233345185462704E-002 0.6475613557909566E-002 0.6836159305822387E-001 0.9177200867191626
0.2000000000000000E-002 0.3000000000000000E-002  0.000000000000000  0.000000000000000 -12.99786219237653 -19.66079212172435 0.8310509962153538E-003 0.9711098216985301E-002 0.3386772913387166E-002 -.8499475477188909E-002 0.6475613557909566E-002 0.6404912519621569E-001 0.9134076188571544
0.2000000000000000E-002 0.4000000000000000E-002  0.000000000000000  0.000000000000000 -12.40440841760132 -19.72312373704570 0.8310509962153538E-003 0.8422524649698997E-002 0.3413653108301929E-002 -.8765605937995842E-002 0.6475613557909566E-002 0.5973665733420944E-001 0.9090951509951481
0.3000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -14.44610684565352 -19.49661809336752 0.8310509962153538E-003 0.1205080684515340E-001 0.3326953847528083E-002 -.7758765212551580E-002 0.6475613557909566E-002 0.7654489300446445E-001 0.9259033866654032
0.3000000000000000E-002 0.1000000000000000E-002  0.000000000000000  0.000000000000000 -13.85265307087830 -19.55894970868887 0.8310509962153538E-003 0.1076223327787447E-001 0.3353834042443143E-002 -.8024895537771770E-002 0.6475613557909566E-002 0.7223242514245645E-001 0.9215909188033951
0.3000000000000000E-002 0.2000000000000000E-002  0.000000000000000  0.000000000000000 -13.25919929610309 -19.62128132401020 0.8310509962153538E-003 0.9473659710592528E-002 0.3380714237358048E-002 -.8291025861705823E-002 0.6475613557909566E-002 0.6791995728044925E-001 0.9172784509413879
0.3000000000000000E-002 0.3000000000000000E-002  0.000000000000000  0.000000000000000 -12.66574552132784 -19.68361293933157 0.8310509962153538E-003 0.8185086143310536E-002 0.3407594432273103E-002 -.8557156186174860E-002 0.6475613557909566E-002 0.6360748941844165E-001 0.9129659830793804
0.3000000000000000E-002 0.4000000000000000E-002  0.000000000000000  0.000000000000000 -12.07229174655265 -19.74594455465293 0.8310509962153538E-003 0.6896512576029280E-002 0.3434474627188512E-002 -.8823286560991178E-002 0.6475613557909566E-002 0.5929502155643407E-001 0.9086535152173727
0.4000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -14.11399017460482 -19.51943891097476 0.8310509962153538E-003 0.1052479477149013E-001 0.3347775366415155E-002 -.7816445888346362E-002 0.6475613557909566E-002 0.7610325722668984E-001 0.9254617508876286
0.4000000000000000E-002 0.1000000000000000E-002  0.000000000000000  0.000000000000000 -13.52053639982961 -19.58177052629609 0.8310509962153538E-003 0.9236221204207584E-002 0.3374655561330215E-002 -.8082576213062610E-002 0.6475613557909566E-002 0.7179078936468129E-001 0.9211492830256200
0.4000000000000000E-002 0.2000000000000000E-002  0.000000000000000  0.000000000000000 -12.92708262505438 -19.64410214161748 0.8310509962153538E-003 0.7947647636924746E-002 0.3401535756244628E-002 -.8348706537532467E-002 0.6475613557909566E-002 0.6747832150267465E-001 0.9168368151636133
0.4000000000000000E-002 0.3000000000000000E-002  0.000000000000000  0.000000000000000 -12.33362885027916 -19.70643375693881 0.8310509962153538E-003 0.6659074069644087E-002 0.3428415951159924E-002 -.8614836861966556E-002 0.6475613557909566E-002 0.6316585364066725E-001 0.9125243473016059
0.4000000000000000E-002 0.4000000000000000E-002  0.000000000000000  0.000000000000000 -11.74017507550396 -19.76876537226017 0.8310509962153538E-003 0.5370500502359730E-002 0.3455296146075082E-002 -.8880967094295530E-002 0.6475613557909566E-002 0.5885338577865908E-001 0.9082118794395977
 0.000000000000000  0.000000000000000 -.1000000000000000E-002  0.000000000000000 -15.53236045667168 -19.03391403529181 0.8310509962153538E-003 0.1686098554734887E-001 0.3062251385282679E-002 -.7553240560074522E-002 0.6475613557909566E-002 0.7831247467306676E-001 0.9276709683340054
 0.000000000000000 0.1000000000000000E-002 -.1000000000000000E-002  0.000000000000000 -14.93890668189647 -19.09624565061317 0.8310509962153538E-003 0.1557241198006737E-001 0.3089131580197782E-002 -.7819370768885265E-002 0.6475613557909566E-002 0.7400000681105898E-001 0.9233585004719977
 0.000000000000000 0.2000000000000000E-002 -.1000000000000000E-002  0.000000000000000 -14.34545290712126 -19.15857726593453 0.8310509962153538E-003 0.1428383841279472E-001 0.3116011775112952E-002 -.8085501230037520E-002 0.6475613557909566E-002 0.6968753894905121E-001 0.9190460326099898
 0.000000000000000 0.3000000000000000E-002 -.1000000000000000E-002  0.000000000000000 -13.75199913234604 -19.22090888125587 0.8310509962153538E-003 0.1299526484550519E-001 0.3142891970027909E-002 -.8351631533477332E-002 0.6475613557909566E-002 0.6537507108704380E-001 0.9147335647479824
 0.000000000000000 0.4000000000000000E-002 -.1000000000000000E-002  0.000000000000000 -13.15854535757082 -19.28324049657721 0.8310509962153538E-003 0.1170669127822392E-001 0.3169772164942925E-002 -.8617761857873508E-002 0.6475613557909566E-002 0.6106260322503582E-001 0.9104210968859745
