I SGx1 SGy1 SGx2 SGy2 EB1 CHROM_X CHROM_Y ALPHA0 ALPHA1
 1.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -15.36460475636059 -19.19814170215412 0.6628311257148501E-002 0.1596402383579213
 2.000000000000000 0.1000000000000000E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -14.75485860878284 -19.26223686793583 0.6628311257148501E-002 0.1506773836688362
 3.000000000000000 0.2000000000000000E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -14.14511241246868 -19.32633203884422 0.6628311257148501E-002 0.1417145282633635
 4.000000000000000 0.3000000000000000E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -13.53536607025924 -19.39042722501350 0.6628311257148501E-002 0.1327516707132124
 5.000000000000000 0.4000000000000000E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -12.92561988445036 -19.45452239479848 0.6628311257148501E-002 0.1237888154621299
 6.000000000000000 0.5000000000000000E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -12.31587368904653 -19.51861756558962 0.6628311257148501E-002 0.1148259600700040
 7.000000000000000 0.6000000000000000E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -11.70612748878035 -19.58271273690193 0.6628311257148501E-002 0.1058631046064216
 8.000000000000000 0.7000000000000000E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -11.09638128968367 -19.64680790808185 0.6628311257148501E-002 0.9690024916001533E-001
 9.000000000000000 0.8000000000000000E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -10.48663508450947 -19.71090307989877 0.6628311257148501E-002 0.8793739362427036E-001
 10.00000000000000 0.9000000000000001E-002 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  132.6850000000000 -9.876888897478615 -19.77499824980964 0.6628311257148501E-002 0.7897453835522450E-001
