I SGx1 SGy1 SGx2 EB1 CHROM_X CHROM_Y ALPHA0 ALPHA1 ETA1
 1.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000  135.0000000000000 -28.95542707738226 -33.07638506966797 0.8515371008798255E-002 0.2612421092059927  1.109041797911392
 2.000000000000000 0.0000000000000000E+000 -.2000000000000000E-002 0.0000000000000000E+000  135.0000000000000 -29.04023605825384 -32.23892722651298 0.8515371008798255E-002 0.2624402727176881  1.110239961423087
 3.000000000000000 0.0000000000000000E+000 -.4000000000000000E-002 0.0000000000000000E+000  135.0000000000000 -29.12504503912534 -31.40146938335761 0.8515371008798255E-002 0.2636384362293845  1.111438124934784
 4.000000000000000 0.0000000000000000E+000 -.6000000000000000E-002 0.0000000000000000E+000  135.0000000000000 -29.20985401999686 -30.56401154020279 0.8515371008798255E-002 0.2648365997410791  1.112636288446478
 5.000000000000000 0.0000000000000000E+000 -.8000000000000000E-002 0.0000000000000000E+000  135.0000000000000 -29.29466300086837 -29.72655369704775 0.8515371008798255E-002 0.2660347632527753  1.113834451958174
 6.000000000000000 0.0000000000000000E+000 -.1000000000000000E-001 0.0000000000000000E+000  135.0000000000000 -29.37947198173993 -28.88909585389320 0.8515371008798255E-002 0.2672329267644706  1.115032615469870
 7.000000000000000 0.0000000000000000E+000 -.1200000000000000E-001 0.0000000000000000E+000  135.0000000000000 -29.46428096261142 -28.05163801073836 0.8515371008798255E-002 0.2684310902761652  1.116230778981564
 8.000000000000000 0.0000000000000000E+000 -.1400000000000000E-001 0.0000000000000000E+000  135.0000000000000 -29.54908994348294 -27.21418016758312 0.8515371008798255E-002 0.2696292537878615  1.117428942493260
 9.000000000000000 0.0000000000000000E+000 -.1600000000000000E-001 0.0000000000000000E+000  135.0000000000000 -29.63389892435449 -26.37672232442851 0.8515371008798255E-002 0.2708274172995573  1.118627106004956
 10.00000000000000 0.0000000000000000E+000 -.1800000000000000E-001 0.0000000000000000E+000  135.0000000000000 -29.71870790522599 -25.53926448127335 0.8515371008798255E-002 0.2720255808112514  1.119825269516650
