 SGx1               SGx2               SGy1               SGy2               spin_ref          spin_x                  spin_y                  spin_z
 0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 -.3373639302918557E-007 -.8278794907335289E-007 -.6142611327159664E-007
 0.000000000000000 0.1000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.1006490366577860E-006 0.3173722077330341E-007 -.6369687166468510E-007
 0.000000000000000 0.2000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.1675059985896285E-006 0.1462625516012413E-006 -.6596766149636376E-007
 0.000000000000000 0.3000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.2343072788216869E-006 0.2607880434316266E-006 -.6823848634997037E-007
 0.000000000000000 0.4000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.3010528773562975E-006 0.3753136962389084E-006 -.7050934352506000E-007
0.1000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 -.2366420704389541E-006 0.1206632348566641E-006 -.6335146165914286E-007
0.1000000000000000E-002 0.1000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.3034858371933634E-006 0.2351884960628169E-006 -.6562224029370650E-007
0.1000000000000000E-002 0.2000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.3702739222478486E-006 0.3497139182618259E-006 -.6789305219467602E-007
0.1000000000000000E-002 0.3000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.4370063256064179E-006 0.4642395014520592E-006 -.7016390130850302E-007
0.1000000000000000E-002 0.4000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.5036830472678694E-006 0.5787652456243561E-006 -.7243477809512654E-007
0.2000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 -.4396418306341460E-006 0.3241148047244237E-006 -.6527682941291924E-007
0.2000000000000000E-002 0.1000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.5064167205005793E-006 0.4386401573039496E-006 -.6754762530116630E-007
0.2000000000000000E-002 0.2000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.5731359286849822E-006 0.5531656708655762E-006 -.6981846181008610E-007
0.2000000000000000E-002 0.3000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.6397994551729955E-006 0.6676913454278196E-006 -.7208932867702428E-007
0.2000000000000000E-002 0.4000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.7064072999539588E-006 0.7822171809544244E-006 -.7436022921838676E-007
0.3000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 -.6427356735923599E-006 0.5275667605520977E-006 -.6720220687561372E-007
0.3000000000000000E-002 0.1000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.7094416866024346E-006 0.6420922044915752E-006 -.6947302511462959E-007
0.3000000000000000E-002 0.2000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.7760920178896055E-006 0.7566178093942011E-006 -.7174388756363331E-007
0.3000000000000000E-002 0.3000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.8426866675042108E-006 0.8711435753506594E-006 -.7401477645657895E-007
0.3000000000000000E-002 0.4000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.9092256354122866E-006 0.9856695022522670E-006 -.7628569739833891E-007
0.4000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 -.8459235993270305E-006 0.7310191023182524E-006 -.6912759833519328E-007
0.4000000000000000E-002 0.1000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.9125607354538379E-006 0.8455446376045687E-006 -.7139844280504387E-007
0.4000000000000000E-002 0.2000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.9791421898975442E-006 0.9600703339443305E-006 -.7366931982979321E-007
0.4000000000000000E-002 0.3000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.1045667962639001E-005 0.1074596191208205E-005 -.7594023246996606E-007
0.4000000000000000E-002 0.4000000000000000E-002  0.000000000000000  0.000000000000000  0.000000000000000 -.1112138053660910E-005 0.1189122209481402E-005 -.7821117890172209E-007
 0.000000000000000  0.000000000000000 -.2000000000000000E-002  0.000000000000000  0.000000000000000 0.8973403438772257E-007 -.1186286316358129E-005 -.5838861825878996E-007
 0.000000000000000 0.1000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 0.2276410876570767E-007 -.1071762079128396E-005 -.6065934354639601E-007
 0.000000000000000 0.2000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.4415013516083597E-007 -.9572376808971633E-006 -.6293010080241804E-007
 0.000000000000000 0.3000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.1110086973891400E-006 -.8427131216694212E-006 -.6520089112379926E-007
 0.000000000000000 0.4000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.1778115779223185E-006 -.7281884014630452E-006 -.6747171351182923E-007
0.1000000000000000E-002  0.000000000000000 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.1131609821722057E-006 -.9828361529915217E-006 -.6031394631303696E-007
0.1000000000000000E-002 0.1000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.1800620309170607E-006 -.8683118243952956E-006 -.6258469078324308E-007
0.1000000000000000E-002 0.2000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.2469073979712279E-006 -.7537873347965486E-006 -.6485546793396400E-007
0.1000000000000000E-002 0.3000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.3136970833249621E-006 -.6392626842107370E-006 -.6712628169675476E-007
0.1000000000000000E-002 0.4000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.3804310869826170E-006 -.5247378726309243E-006 -.6939712495699246E-007
0.2000000000000000E-002  0.000000000000000 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.3161500815148069E-006 -.7793856036743855E-006 -.6223929023910558E-007
0.2000000000000000E-002 0.1000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.3829822533914942E-006 -.6648611837223036E-006 -.6451005340780391E-007
0.2000000000000000E-002 0.2000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.4497587435558576E-006 -.5503366027382549E-006 -.6678085304575516E-007
0.2000000000000000E-002 0.3000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.5164795520364449E-006 -.4358118607939013E-006 -.6905168691295808E-007
0.2000000000000000E-002 0.4000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.5831446788197215E-006 -.3212869578543387E-006 -.7132255472757698E-007
0.3000000000000000E-002  0.000000000000000 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.5192332636263331E-006 -.5759346684020867E-006 -.6416464551678877E-007
0.3000000000000000E-002 0.1000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.5859965586171751E-006 -.4614101570644235E-006 -.6643543208615130E-007
0.3000000000000000E-002 0.2000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.6527041719304163E-006 -.3468854847540660E-006 -.6870625574181576E-007
0.3000000000000000E-002 0.3000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.7193561035128920E-006 -.2323606514358044E-006 -.7097711221984454E-007
0.3000000000000000E-002 0.4000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.7859523534333262E-006 -.1178356571244899E-006 -.7324800275346834E-007
0.4000000000000000E-002  0.000000000000000 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.7224105285088088E-006 -.3724833472006000E-006 -.6609001559573686E-007
0.4000000000000000E-002 0.1000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.7891049466574805E-006 -.2579587444800741E-006 -.6836082523355059E-007
0.4000000000000000E-002 0.2000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.8557436830681574E-006 -.1434339808167604E-006 -.7063167165901314E-007
0.4000000000000000E-002 0.3000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.9223267377888718E-006 -.2890905612947471E-007 -.7290254710943210E-007
0.4000000000000000E-002 0.4000000000000000E-002 -.2000000000000000E-002  0.000000000000000  0.000000000000000 -.9888541108226269E-006 0.8561602954620995E-007 -.7517346028403625E-007
 0.000000000000000  0.000000000000000 -.4000000000000000E-002  0.000000000000000  0.000000000000000 0.2132262690777420E-006 -.2289780741088514E-005 -.5535116122924804E-007
 0.000000000000000 0.1000000000000000E-002 -.4000000000000000E-002  0.000000000000000  0.000000000000000 0.1461990614591819E-006 -.2175257436435431E-005 -.5762184856144114E-007
 0.000000000000000 0.2000000000000000E-002 -.4000000000000000E-002  0.000000000000000  0.000000000000000 0.7922753553509910E-007 -.2060733970810319E-005 -.5989257074512535E-007
 0.000000000000000 0.3000000000000000E-002 -.4000000000000000E-002  0.000000000000000  0.000000000000000 0.1231169131013791E-007 -.1946210344186385E-005 -.6216332528590695E-007
 0.000000000000000 0.4000000000000000E-002 -.4000000000000000E-002  0.000000000000000  0.000000000000000 -.5454847122024485E-007 -.1831686556570895E-005 -.6443411286835220E-007
0.1000000000000000E-002  0.000000000000000 -.4000000000000000E-002  0.000000000000000  0.000000000000000 0.1034191336513230E-007 -.2086331598267589E-005 -.5727646320375044E-007
