 SGx1               SGx2              SGy1                SGy2              chrom_x            chrom_y            CONS(MU)           quad_Kx                 quad_Ky                 quad_Kz                  alpha_0              alpha_1            eta_1
 0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 -9.170757103137932 -8.816105085121523 0.1403053613395166E-006 -.4839188881320606E-002 -.2359878761543381E-001 -3.847696284610469 0.9643320277913103E-001 0.3710930098627234  1.066057082079384
 0.000000000000000  1.000000000000000  0.000000000000000  0.000000000000000 -8.106254094570653 -9.562653456148503 0.1403053613395166E-006 -.4515134464907046E-002 -.2423552947077575E-001 -3.833564264541071 0.9643320277913103E-001 0.2668751970508585 0.9618392692675191
 0.000000000000000  2.000000000000000  0.000000000000000  0.000000000000000 -7.041751086003377 -10.30920182717549 0.1403053613395166E-006 -.4191080047649616E-002 -.2487227132881587E-001 -3.819432667450013 0.9643320277913103E-001 0.1626573842389945 0.8576214564556551
 0.000000000000000  3.000000000000000  0.000000000000000  0.000000000000000 -5.977248077436104 -11.05575019820249 0.1403053613395166E-006 -.3867025630458839E-002 -.2550901318511922E-001 -3.805299954104763 0.9643320277913103E-001 0.5843957142713051E-001 0.7534036436437912
 0.000000000000000  4.000000000000000  0.000000000000000  0.000000000000000 -4.912745068868825 -11.80229856922948 0.1403053613395166E-006 -.3542971213299683E-002 -.2614575504249173E-001 -3.791167972443989 0.9643320277913103E-001 -.4577824138473465E-001 0.6491858308319260
 1.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 -7.140624126924306 -9.651077541379852 0.1403053613395166E-006 -.4222359878035016E-002 -.2430711853857204E-001 -3.840146516484027 0.9643320277913103E-001 0.3153547856783335  1.010318857894994
 1.000000000000000  1.000000000000000  0.000000000000000  0.000000000000000 -6.076121118357026 -10.39762591240684 0.1403053613395166E-006 -.3898305460810886E-002 -.2494386039540876E-001 -3.826013873005230 0.9643320277913103E-001 0.2111369728664693 0.9061010450831299
 1.000000000000000  2.000000000000000  0.000000000000000  0.000000000000000 -5.011618109789752 -11.14417428343382 0.1403053613395166E-006 -.3574251043642548E-002 -.2558060225226237E-001 -3.811881249263807 0.9643320277913103E-001 0.1069191600546052 0.8018832322712659
 1.000000000000000  3.000000000000000  0.000000000000000  0.000000000000000 -3.947115101222463 -11.89072265446082 0.1403053613395166E-006 -.3250196626424208E-002 -.2621734410855196E-001 -3.797749207387970 0.9643320277913103E-001 0.2701347242740524E-002 0.6976654194594012
 1.000000000000000  4.000000000000000  0.000000000000000  0.000000000000000 -2.882612092655186 -12.63727102548781 0.1403053613395166E-006 -.2926142209213947E-002 -.2685408596555169E-001 -3.783616564036101 0.9643320277913103E-001 -.1015164655691244 0.5934476066475363
 2.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 -5.110491150710671 -10.48604999763819 0.1403053613395166E-006 -.3605530873985970E-002 -.2501544946120757E-001 -3.832595106008848 0.9643320277913103E-001 0.2596165614939440 0.9545806337106046
