 SGx1               SGx2              SGy1                SGy2              chrom_x            chrom_y            CONS(MU)           quad_Kx                 quad_Ky                 quad_Kz                  alpha_0              alpha_1            eta_1
 0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000 -18.74751673546692 -16.50328426656626 0.3296714291644045E-002 0.2869255526104771E-001 0.2697209345053607E-002 -.7320764094830051E-002 0.8051399084400513E-002 0.5849533289363331E-001 0.9066495940187419
 0.000000000000000 0.2000000000000000E-001  0.000000000000000  0.000000000000000 -13.46185553165721 -17.55723598296083 0.3296714291644045E-002 0.2406897059127091E-001 0.2813233168197611E-002 -.8115067730534544E-002 0.8051399084400513E-002 0.8640398230572072E-002 0.8567946593556807
 0.000000000000000 0.4000000000000000E-001  0.000000000000000  0.000000000000000 -8.176194327847456 -18.61118769935541 0.3296714291644045E-002 0.1944538592148956E-001 0.2929256991341453E-002 -.8909334500348025E-002 0.8051399084400513E-002 -.4121453643248955E-001 0.8069397246926191
 0.000000000000000 0.6000000000000000E-001  0.000000000000000  0.000000000000000 -2.890533124037753 -19.66513941574998 0.3296714291644045E-002 0.1482180125170811E-001 0.3045280814485019E-002 -.9703619297644711E-002 0.8051399084400513E-002 -.9106947109555179E-001 0.7570847900295569
 0.000000000000000 0.8000000000000000E-001  0.000000000000000  0.000000000000000  2.395128079771958 -20.71909113214454 0.3296714291644045E-002 0.1019821658192854E-001 0.3161304637629221E-002 -.1049790353910263E-001 0.8051399084400513E-002 -.1409244057586128 0.7072298553664959
0.2000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -12.76871170083636 -17.09648906614646 0.3296714291644045E-002 0.1879250717684077E-001 0.2820907683310966E-002 -.7490231407559534E-002 0.8051399084400513E-002 0.5287562130033694E-001 0.9010298824254456
0.2000000000000000E-001 0.2000000000000000E-001  0.000000000000000  0.000000000000000 -7.483050497026632 -18.15044078254101 0.3296714291644045E-002 0.1416892250705954E-001 0.2936931506454871E-002 -.8284561517229004E-002 0.8051399084400513E-002 0.3020686637275699E-002 0.8511749477623843
0.2000000000000000E-001 0.4000000000000000E-001  0.000000000000000  0.000000000000000 -2.197389293216877 -19.20439249893561 0.3296714291644045E-002 0.9545337837278844E-002 0.3052955329598264E-002 -.9078808414613834E-002 0.8051399084400513E-002 -.4683424802578592E-001 0.8013200130993228
0.2000000000000000E-001 0.6000000000000000E-001  0.000000000000000  0.000000000000000  3.088271910592848 -20.25834421533017 0.3296714291644045E-002 0.4921753167497610E-002 0.3168979152742800E-002 -.9873089597055870E-002 0.8051399084400513E-002 -.9668918268884756E-001 0.7514650784362611
0.2000000000000000E-001 0.8000000000000000E-001  0.000000000000000  0.000000000000000  8.373933114402558 -21.31229593172475 0.3296714291644045E-002 0.2981684977177812E-003 0.3285002975886314E-002 -.1066736939919831E-001 0.8051399084400513E-002 -.1465441173519090 0.7016101437731996
0.4000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -6.789906666205757 -17.68969386572664 0.3296714291644045E-002 0.8892459092627670E-002 0.2944606021568445E-002 -.7659701184736693E-002 0.8051399084400513E-002 0.4725590970704076E-001 0.8954101708321494
0.4000000000000000E-001 0.2000000000000000E-001  0.000000000000000  0.000000000000000 -1.504245462396032 -18.74364558212123 0.3296714291644045E-002 0.4268874422847656E-002 0.3060629844711843E-002 -.8454058002020447E-002 0.8051399084400513E-002 -.2599024956021071E-002 0.8455552361690876
0.4000000000000000E-001 0.4000000000000000E-001  0.000000000000000  0.000000000000000  3.781415741413700 -19.79759729851579 0.3296714291644045E-002 -.3547102469360605E-003 0.3176653667856153E-002 -.9248276531820492E-002 0.8051399084400513E-002 -.5245395961908250E-001 0.7957003015060261
0.4000000000000000E-001 0.6000000000000000E-001  0.000000000000000  0.000000000000000  9.067076945223429 -20.85154901491036 0.3296714291644045E-002 -.4978294916716873E-002 0.3292677490999774E-002 -.1004256029252784E-001 0.8051399084400513E-002 -.1023088942821437 0.7458453668429649
0.4000000000000000E-001 0.8000000000000000E-001  0.000000000000000  0.000000000000000  14.35273814903312 -21.90550073130493 0.3296714291644045E-002 -.9601879586495063E-002 0.3408701314143554E-002 -.1083684291863000E-001 0.8051399084400513E-002 -.1521638289452056 0.6959904321799031
0.6000000000000000E-001  0.000000000000000  0.000000000000000  0.000000000000000 -.8111016315751652 -18.28289866530683 0.3296714291644045E-002 -.1007588991584980E-002 0.3068304359825656E-002 -.7829174084272070E-002 0.8051399084400513E-002 0.4163619811374399E-001 0.8897904592388526
0.6000000000000000E-001 0.2000000000000000E-001  0.000000000000000  0.000000000000000  4.474559572234555 -19.33685038170141 0.3296714291644045E-002 -.5631173661367614E-002 0.3184328182969965E-002 -.8623560515697445E-002 0.8051399084400513E-002 -.8218736549316846E-002 0.8399355245757918
0.6000000000000000E-001 0.4000000000000000E-001  0.000000000000000  0.000000000000000  9.760220776044276 -20.39080209809600 0.3296714291644045E-002 -.1025475833114871E-001 0.3300352006113752E-002 -.9417746809891261E-002 0.8051399084400513E-002 -.5807367121237848E-001 0.7900805899127301
