I SPIN-TUNE(1) SPIN-TUNE(2) SPIN-TUNE(3)
 1.000000000000000 0.3378107082258053E-010 0.8454417591355345E-009 0.3386341944702775E-008
 2.000000000000000 0.4202505704542503E-010 0.1051159728704398E-008 0.4207305460621202E-008
 3.000000000000000 0.5026959751242011E-010 0.1256949316331968E-008 0.5028844134516430E-008
 4.000000000000000 0.5851475033680220E-010 0.1462811937552599E-008 0.5850963649342567E-008
 5.000000000000000 0.6676048082410180E-010 0.1668746731943449E-008 0.6673660544326276E-008
 6.000000000000000 0.7500678897431889E-010 0.1874753718586475E-008 0.7496934897530116E-008
 7.000000000000000 0.8325367218536828E-010 0.2080832836766355E-008 0.8320786471296970E-008
 8.000000000000000 0.9150109663014216E-010 0.2286983200039394E-008 0.9145211722454138E-008
 9.000000000000000 0.9974912389132395E-010 0.2493206380932422E-008 0.9970216936772136E-008
 10.00000000000000 0.1079977288154232E-009 0.2699501744536648E-008 0.1079579957548316E-007
 11.00000000000000 0.1162469114024400E-009 0.2905869276974282E-008 0.1162195958828022E-007
 12.00000000000000 0.1244966707850126E-009 0.3112308983449497E-008 0.1244869698730638E-007
 13.00000000000000 0.1327470078305026E-009 0.3318820864829652E-008 0.1327601178990889E-007
 14.00000000000000 0.1409979225389102E-009 0.3525404918512665E-008 0.1410390396226063E-007
 15.00000000000000 0.1492494140428735E-009 0.3732061143631171E-008 0.1493237352517829E-007
 16.00000000000000 0.1575014832097543E-009 0.3938789544521981E-008 0.1576142047952922E-007
 17.00000000000000 0.1657541300395526E-009 0.4145590116848286E-008 0.1659104480536411E-007
 18.00000000000000 0.1740073536649067E-009 0.4352462851936467E-008 0.1742124647666210E-007
 19.00000000000000 0.1822611540858166E-009 0.4559407771470569E-008 0.1825202558796563E-007
 20.00000000000000 0.1905155330370056E-009 0.4766424867644337E-008 0.1908338211325383E-007
 21.00000000000000 0.1987704896511122E-009 0.4973514131784151E-008 0.1991531597793361E-007
 22.00000000000000 0.2070260230607746E-009 0.5180675574298355E-008 0.2074782727741475E-007
 23.00000000000000 0.2152821350007161E-009 0.5387909215136266E-008 0.2158091604118756E-007
 24.00000000000000 0.2235388237362135E-009 0.5595215001388820E-008 0.2241458208276925E-007
 25.00000000000000 0.2317960892672666E-009 0.5802592963413677E-008 0.2324882553139673E-007
 26.00000000000000 0.2400539324612372E-009 0.6010043095139306E-008 0.2408364633329357E-007
 27.00000000000000 0.2483123533181253E-009 0.6217565406974046E-008 0.2491904457779803E-007
 28.00000000000000 0.2565713501032074E-009 0.6425159891111643E-008 0.2575502019725590E-007
 29.00000000000000 0.2648309254185688E-009 0.6632826545817372E-008 0.2659157318212618E-007
 30.00000000000000 0.2730910775294859E-009 0.6840565354611361E-008 0.2742870347429566E-007
