I SGx1 SGy1 EB1 CONS(MU)
1.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  84.00000000000000 0.2464123259649243E-001
2.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  85.00000000000000 0.2301459779786879E-001
3.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  86.00000000000000 0.2138796299924480E-001
4.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  87.00000000000000 0.1976132820062138E-001
5.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  88.00000000000000 0.1813469340199704E-001
6.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  89.00000000000000 0.1650805860337390E-001
7.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  90.00000000000000 0.1488142380475076E-001
8.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  91.00000000000000 0.1325478900612747E-001
9.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  92.00000000000000 0.1162815420750370E-001
10.00000000000000 0.0000000000000000E+000 0.0000000000000000E+000  93.00000000000000 0.1000151940887865E-001
 1.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  94.00000000000000 0.8374884610255295E-002
 2.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  95.00000000000000 0.6748249811630671E-002
 3.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  96.00000000000000 0.5121615013008166E-002
 4.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  97.00000000000000 0.3494980214385167E-002
 5.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  98.00000000000000 0.1868345415758351E-002
 6.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  99.00000000000000 0.2417106170960546E-003
 7.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  100.0000000000000 0.1384924181490404E-002
 8.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  101.0000000000000 0.3011558980110576E-002
 9.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  102.0000000000000 0.4638193778731031E-002
 10.00000000000000 0.0000000000000000E+000 0.0000000000000000E+000  103.0000000000000 0.6264828577356009E-002
 1.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  104.0000000000000 0.7891463375979573E-002
 2.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  105.0000000000000 0.9518098174604622E-002
 3.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  106.0000000000000 0.1114473297322812E-001
 4.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  107.0000000000000 0.1277136777185182E-001
 5.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  108.0000000000000 0.1439800257047595E-001
 6.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  109.0000000000000 0.1602463736909909E-001
 7.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  110.0000000000000 0.1765127216772237E-001
 8.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  111.0000000000000 0.1927790696634650E-001
 9.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  112.0000000000000 0.2090454176497035E-001
 10.00000000000000 0.0000000000000000E+000 0.0000000000000000E+000  113.0000000000000 0.2253117656359399E-001
