I SGx1 SGy1 EB1 CONS(MU)
 1.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  104.0000000000000 0.7891463375979573E-002
 2.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  105.0000000000000 0.9518098174604622E-002
 3.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  106.0000000000000 0.1114473297322812E-001
 4.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  107.0000000000000 0.1277136777185182E-001
 5.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  108.0000000000000 0.1439800257047595E-001
 6.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  109.0000000000000 0.1602463736909909E-001
 7.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  110.0000000000000 0.1765127216772237E-001
 8.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  111.0000000000000 0.1927790696634650E-001
 9.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  112.0000000000000 0.2090454176497035E-001
 10.00000000000000 0.0000000000000000E+000 0.0000000000000000E+000  113.0000000000000 0.2253117656359399E-001
